Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,408.180969,411.198273,403.860748,409.598206,391.149719,7107003
2015-05-12,409.118164,409.118164,395.517487,397.140411,379.253052,8325100
2015-05-13,399.266235,406.260895,391.882996,404.637939,386.412842,8350717
2015-05-14,405.049377,405.140839,397.871887,401.483490,383.400513,6164856
2015-05-15,403.175018,405.483704,397.780457,399.540527,381.545044,4165857
2015-05-18,399.974854,408.706726,398.740509,407.586670,389.228790,4923770
2015-05-19,407.449524,413.621277,405.323700,409.415344,390.975098,7256518
2015-05-20,411.632599,416.478546,410.398224,415.495636,396.781525,4354445
2015-05-21,416.592834,418.490082,408.752441,409.963928,391.498962,5379761
2015-05-22,410.078217,414.009857,410.078217,413.209808,394.598694,4174524
2015-05-25,411.449707,415.107056,407.952393,408.935303,390.516663,3308668
2015-05-26,409.163879,409.621063,403.540741,404.409363,386.194580,4755124
2015-05-27,405.049377,407.289520,402.397827,404.729370,386.500183,4039118
2015-05-28,404.980804,408.821014,398.649048,400.386292,382.352722,13269434
2015-05-29,402.260681,405.255127,399.151947,400.934906,382.876617,14638758
2015-06-01,402.306396,413.689850,401.392059,412.478333,393.900208,9797488
2015-06-02,414.078430,420.044464,407.540955,410.832550,392.328491,10089480
2015-06-03,410.992554,416.227112,406.192322,409.781067,391.324402,7773139
2015-06-04,413.369812,418.855804,408.043823,417.255737,398.462341,7965697
2015-06-05,415.975677,419.198700,413.484100,414.992767,396.301331,6533168
2015-06-08,414.558441,416.021393,403.723602,404.797943,386.565704,5423476
2015-06-09,403.929321,407.175201,401.094910,403.997925,385.801727,4576677
2015-06-10,405.049377,415.975677,404.592224,414.101288,395.450012,6754689
2015-06-11,414.192719,415.792816,399.403381,401.003479,382.942139,7338219
2015-06-12,401.849243,408.112396,401.506348,406.809479,388.486633,10771912
2015-06-15,409.118164,413.735565,406.878052,412.249756,393.681854,6429285
2015-06-16,410.992554,413.735565,408.341003,413.255524,394.642303,6964652
2015-06-17,413.758423,430.810730,408.706726,425.713318,406.538971,13116317
2015-06-18,426.330475,448.937378,426.307617,447.542999,427.385437,24683399
2015-06-19,449.165955,460.092224,449.165955,455.634857,435.112854,22855467
2015-06-22,455.772003,461.143707,450.994598,453.371887,432.951782,9697093
2015-06-23,453.806183,458.400696,453.051849,454.880524,434.392487,8003749
2015-06-24,454.880524,460.115082,451.063171,453.006134,432.602539,9301502
2015-06-25,451.223206,461.280853,450.308868,459.246460,438.561829,13587559
2015-06-26,457.120636,463.612396,455.063385,457.486389,436.880981,10483398
2015-06-29,451.634644,454.354797,444.365692,452.983276,432.580719,10084473
2015-06-30,452.548981,458.469269,451.680359,457.212067,436.619019,11592432
2015-07-01,457.623535,461.943756,457.623535,459.749359,439.042084,7412133
2015-07-02,461.280853,466.195404,460.412231,462.126617,441.312195,7965601
2015-07-03,461.623718,463.475250,458.560730,460.457947,439.718719,6915548
2015-07-06,455.383423,465.806793,454.971954,464.275299,443.364136,6118866
2015-07-07,462.195190,464.755310,457.166351,458.652161,437.994293,5647499
2015-07-08,455.269104,461.143707,453.349030,455.612000,435.091034,7595327
2015-07-09,455.337677,457.623535,449.463104,451.406067,431.074554,8122933
2015-07-10,453.097565,458.995026,452.708984,457.989258,437.361206,8055286
2015-07-13,457.989258,462.880951,454.949097,460.366516,439.631409,4930124
2015-07-14,461.235138,462.423767,454.971954,456.160583,435.614960,4971463
2015-07-15,457.052063,463.749542,456.960632,462.263763,441.443176,6766455
2015-07-16,462.652344,469.875580,462.263763,468.001190,446.922211,7427147
2015-07-17,468.709808,471.407074,465.395355,467.086853,446.049072,5097571
2015-07-20,469.875580,470.858490,465.349640,468.481232,447.380646,3174177
2015-07-21,469.967010,470.172729,458.423553,460.732269,439.980713,3961669
2015-07-22,459.452179,481.830475,459.269318,480.207550,458.578766,8654720
2015-07-23,481.624756,488.185089,476.001617,477.876007,456.352264,9321457
2015-07-24,479.110352,479.864655,466.812561,468.618378,447.511597,6549832
2015-07-27,468.549805,470.835632,457.966400,459.612183,438.911011,10059276
2015-07-28,460.960846,464.801025,457.212067,461.852325,441.050293,6691439
2015-07-29,461.509430,462.972382,453.554749,455.337677,434.829071,7395410
2015-07-30,457.212067,460.823700,453.646179,457.234924,436.640839,5850614
2015-07-31,457.166351,460.777985,452.594696,458.012115,437.383118,8317129
2015-08-03,457.623535,463.498108,456.892059,458.286407,437.645020,4943893
2015-08-04,458.720734,459.749359,448.023041,451.680359,431.336517,6003436
2015-08-05,451.794647,457.532104,449.897400,451.566071,431.227356,7172505
2015-08-06,453.051849,453.509033,446.880127,447.542999,427.385437,4354018
2015-08-07,447.565857,454.423370,446.720093,450.011719,429.742981,4304444
2015-08-10,450.080292,452.046082,440.936951,442.948486,422.997864,4644447
2015-08-11,443.908539,445.120026,437.965363,441.622711,421.731812,4381232
2015-08-12,440.525513,441.622711,429.987823,431.062164,411.646973,4825162
